Course Code,Academic Year,Semester
MTH251,2017 - 2018,1
Student ID,Midterm Score,Lab Score
1751047,6,10
1751048,6,10
1751049,6,10
1751050,6,10
1751051,6,10
1751052,6,10
1751053,6,10
1751054,6,10
1751055,6,10
1751125,6,10
1751057,6,10
1751058,6,10
1751029,6,10
1751059,6,10
1751002,6,10
1751001,6,10
1751060,6,10
1751061,6,10
1751062,6,10
1751063,6,10
1751064,6,10
1751065,6,10
1751004,6,10
1751045,6,10
1751005,6,10
1751066,6,10
1751067,6,10
1751068,6,10
1751069,6,10
1751070,6,10
1751008,6,10
1751030,6,10
1751071,6,10
1751072,6,10
1751074,6,10
1751076,6,10
1751077,6,10
1751124,6,10
1751039,6,10
1751031,6,10
1751078,6,10
1751080,6,10
1751041,6,10
1751011,6,10
1751081,6,10
1751082,6,10
1751012,6,10
1751043,6,10
1751013,6,10
1751083,6,10
1751084,6,10
1751085,6,10
1751016,6,10
1751033,6,10
1751086,6,10
1751087,6,10
1751089,6,10
1751090,6,10
1751091,6,10
1751092,6,10
1751093,6,10
1751094,6,10
1751046,6,10
1751096,6,10
1751097,6,10
1751035,6,10
1751098,6,10
1751099,6,10
1751100,6,10
1751018,6,10
1751101,6,10
1751021,6,10
1751102,6,10
1751019,6,10
1751103,6,10
1751020,6,10
1751040,6,10
1751104,6,10
1751022,6,10
1751105,6,10
1751023,6,10
1751036,6,10
1751037,6,10
1751042,6,10
1751106,6,10
1751107,6,10
1751024,6,10
1751108,6,10
1751109,6,10
1751044,6,10
1751111,6,10
1751112,6,10
1751113,6,10
1751026,6,10
1751114,6,10
1751115,6,10
1751116,6,10
1751119,6,10
1751120,6,10
1751121,6,10
1751122,6,10
1751027,6,10
1751028,6,10
1751123,6,10
