Course Code,Academic Year,Semester,,,,,,,,
CS161,2017 - 2018,1,,,,,,,,
Student ID,Week 01,Week 02,Week 03,Week 04,Week 05,Week 06,Week 07,Week 08,Week 09,Week 10," ,"
1751047,0,1,1,1,1,1,1,1,1,1
1751048,0,1,1,1,1,1,1,1,1,1
1751049,0,1,1,1,1,1,1,1,1,1
1751050,0,1,1,1,1,1,1,1,1,1
1751051,0,1,1,1,1,1,1,1,1,1
1751052,0,1,1,1,1,1,1,1,1,1
1751053,0,1,1,1,1,1,1,1,1,1
1751054,0,1,1,1,1,1,1,1,1,1
1751055,0,1,1,1,1,1,1,1,1,1
1751125,0,1,1,1,1,1,1,1,1,1
1751057,0,1,1,1,1,1,1,1,1,1
1751058,0,1,1,1,1,1,1,1,1,1
1751029,0,1,1,1,1,1,1,1,1,1
1751059,0,1,1,1,1,1,1,1,1,1
1751002,0,1,1,1,1,1,1,1,1,1
1751001,0,1,1,1,1,1,1,1,1,1
1751060,0,1,1,1,1,1,1,1,1,1
1751061,0,1,1,1,1,1,1,1,1,1
1751062,0,1,1,1,1,1,1,1,1,1
1751063,0,1,1,1,1,1,1,1,1,1
1751064,0,1,1,1,1,1,1,1,1,1
1751065,0,1,1,1,1,1,1,1,1,1
1751004,0,1,1,1,1,1,1,1,1,1
1751045,0,1,1,1,1,1,1,1,1,1
1751005,0,1,1,1,1,1,1,1,1,1
1751066,0,1,1,1,1,1,1,1,1,1
1751067,0,1,1,1,1,1,1,1,1,1
1751068,0,1,1,1,1,1,1,1,1,1
1751069,0,1,1,1,1,1,1,1,1,1
1751070,0,1,1,1,1,1,1,1,1,1
1751008,0,1,1,1,1,1,1,1,1,1
1751030,0,1,1,1,1,1,1,1,1,1
1751071,0,1,1,1,1,1,1,1,1,1
1751072,0,1,1,1,1,1,1,1,1,1
1751074,0,1,1,1,1,1,1,1,1,1
1751076,0,1,1,1,1,1,1,1,1,1
1751077,0,1,1,1,1,1,1,1,1,1
1751124,0,1,1,1,1,1,1,1,1,1
1751039,0,1,1,1,1,1,1,1,1,1
1751031,0,1,1,1,1,1,1,1,1,1
1751078,0,1,1,1,1,1,1,1,1,1
1751080,0,1,1,1,1,1,1,1,1,1
1751041,0,1,1,1,1,1,1,1,1,1
1751011,0,1,1,1,1,1,1,1,1,1
1751081,0,1,1,1,1,1,1,1,1,1
1751082,0,1,1,1,1,1,1,1,1,1
1751012,0,1,1,1,1,1,1,1,1,1
1751043,0,1,1,1,1,1,1,1,1,1
1751013,0,1,1,1,1,1,1,1,1,1
1751083,0,1,1,1,1,1,1,1,1,1
1751084,0,1,1,1,1,1,1,1,1,1
1751085,0,1,1,1,1,1,1,1,1,1
1751016,0,1,1,1,1,1,1,1,1,1
1751033,0,1,1,1,1,1,1,1,1,1
1751086,0,1,1,1,1,1,1,1,1,1
1751087,0,1,1,1,1,1,1,1,1,1
1751089,0,1,1,1,1,1,1,1,1,1
1751090,0,1,1,1,1,1,1,1,1,1
1751091,0,1,1,1,1,1,1,1,1,1
1751092,0,1,1,1,1,1,1,1,1,1
1751093,0,1,1,1,1,1,1,1,1,1
1751094,0,1,1,1,1,1,1,1,1,1
1751046,0,1,1,1,1,1,1,1,1,1
1751096,0,1,1,1,1,1,1,1,1,1
1751097,0,1,1,1,1,1,1,1,1,1
1751035,0,1,1,1,1,1,1,1,1,1
1751098,0,1,1,1,1,1,1,1,1,1
1751099,0,1,1,1,1,1,1,1,1,1
1751100,0,1,1,1,1,1,1,1,1,1
1751018,0,1,1,1,1,1,1,1,1,1
1751101,0,1,1,1,1,1,1,1,1,1
1751021,0,1,1,1,1,1,1,1,1,1
1751102,0,1,1,1,1,1,1,1,1,1
1751019,0,1,1,1,1,1,1,1,1,1
1751103,0,1,1,1,1,1,1,1,1,1
1751020,0,1,1,1,1,1,1,1,1,1
1751040,0,1,1,1,1,1,1,1,1,1
1751104,0,1,1,1,1,1,1,1,1,1
1751022,0,1,1,1,1,1,1,1,1,1
1751105,0,1,1,1,1,1,1,1,1,1
1751023,0,1,1,1,1,1,1,1,1,1
1751036,0,1,1,1,1,1,1,1,1,1
1751037,0,1,1,1,1,1,1,1,1,1
1751042,0,1,1,1,1,1,1,1,1,1
1751106,0,1,1,1,1,1,1,1,1,1
1751107,0,1,1,1,1,1,1,1,1,1
1751024,0,1,1,1,1,1,1,1,1,1
1751108,0,1,1,1,1,1,1,1,1,1
1751109,0,1,1,1,1,1,1,1,1,1
1751044,0,1,1,1,1,1,1,1,1,1
1751111,0,1,1,1,1,1,1,1,1,1
1751112,0,1,1,1,1,1,1,1,1,1
1751113,0,1,1,1,1,1,1,1,1,1
1751026,0,1,1,1,1,1,1,1,1,1
1751114,0,1,1,1,1,1,1,1,1,1
1751115,0,1,1,1,1,1,1,1,1,1
1751116,0,1,1,1,1,1,1,1,1,1
1751119,0,1,1,1,1,1,1,1,1,1
1751120,0,1,1,1,1,1,1,1,1,1
1751121,0,1,1,1,1,1,1,1,1,1
1751122,0,1,1,1,1,1,1,1,1,1
1751027,0,1,1,1,1,1,1,1,1,1
1751028,0,1,1,1,1,1,1,1,1,1
1751123,0,1,1,1,1,1,1,1,1,1
